RowID;Data;Id;Ambiente;Nome_Rota;No Answer;Failed;Answered;Busy;Total;% No Answer;% Failed;% Answered;% Busy;
69;2020-04-02T03:00:00.000Z;106;2;KMG Ypy ITX - Movel;4246;6160;689;65;11160;38%;55%;6%;1%
70;2020-04-02T03:00:00.000Z;108;1;EBS 0 - 75104;11753;12356;1211;0;25320;46%;49%;5%;0%
71;2020-04-02T03:00:00.000Z;111;2;Ypy ITX - Movel;521;503;1163;10;2197;24%;23%;53%;0%
72;2020-04-02T03:00:00.000Z;112;2;Supernova Telecom - Movel;429;198;650;13;1290;33%;15%;50%;1%
73;2020-04-02T03:00:00.000Z;122;2;Ypy ITX - Fixo;11456;3420;5764;272;20912;55%;16%;28%;1%
74;2020-04-02T03:00:00.000Z;124;2;KMG Ypy ITX - Fixo;13803;8025;1037;349;23214;59%;35%;4%;2%
75;2020-04-02T03:00:00.000Z;125;2;KMG TenTec ITX - Movel;894;1980;200;14;3088;29%;64%;6%;0%
76;2020-04-02T03:00:00.000Z;126;1;EBS 2 - 48215;16191;11276;841;0;28308;57%;40%;3%;0%
77;2020-04-02T03:00:00.000Z;130;2;TenTec ITX Movel;0;1;7;0;8;0%;12%;88%;0%
78;2020-04-02T03:00:00.000Z;134;2;YPY - WHATSAPP;0;0;13152;29164;42316;0%;0%;31%;69%
79;2020-04-02T03:00:00.000Z;138;2;KMG Baldussi ITX - Movel;73024;79409;8661;1249;162343;45%;49%;5%;1%
80;2020-04-02T03:00:00.000Z;139;1;KMG Ypy ITX - Movel;1553;3980;433;22;5988;26%;66%;7%;0%
81;2020-04-02T03:00:00.000Z;140;1;Ypy ITX - Movel;51;0;545;6;602;8%;0%;91%;1%
82;2020-04-02T03:00:00.000Z;140;2;Baldussi ITX - Movel;1533;1836;3622;23;7014;22%;26%;52%;0%
83;2020-04-02T03:00:00.000Z;149;2;EBS 7 - 60194;9225;11822;1158;0;22205;42%;53%;5%;0%
84;2020-04-02T03:00:00.000Z;153;1;KMG Ypy ITX - Fixo;1035;919;183;58;2195;47%;42%;8%;3%
85;2020-04-02T03:00:00.000Z;154;1;Ypy ITX - Fixo;6539;2293;3557;147;12536;52%;18%;28%;1%
86;2020-04-02T03:00:00.000Z;161;1;KMG TenTec ITX - Movel;1917;8947;1109;59;12032;16%;74%;9%;0%
87;2020-04-02T03:00:00.000Z;168;1;Baldussi TDM - Fixo;6615;1883;3069;136;11703;57%;16%;26%;1%
88;2020-04-03T03:00:00.000Z;12;4;EBS 1 - 61286;3603;5644;769;0;10016;36%;56%;8%;0%
89;2020-04-03T03:00:00.000Z;22;2;EBS 0 - 108406;10456;5603;729;0;16788;62%;33%;4%;0%
90;2020-04-03T03:00:00.000Z;24;2;EBS 2 - 111848;9953;6061;783;0;16797;59%;36%;5%;0%
91;2020-04-03T03:00:00.000Z;25;2;EBS 5 - 59329;5759;11889;916;8;18572;31%;64%;5%;0%
92;2020-04-03T03:00:00.000Z;26;2;EBS 4 - 59675;1718;36341;250;0;38309;4%;95%;1%;0%
93;2020-04-03T03:00:00.000Z;27;4;KMG Ypy ITX - Fixo;6940;3894;1570;187;12591;55%;31%;12%;1%
94;2020-04-03T03:00:00.000Z;28;4;Ypy ITX - Fixo;4481;2211;2070;165;8927;50%;25%;23%;2%
95;2020-04-03T03:00:00.000Z;36;1;EBS 3 - 60205;1171;5581;290;0;7042;17%;79%;4%;0%
96;2020-04-03T03:00:00.000Z;38;4;KMG - TenTec ITX Movel;24675;53889;5959;394;84917;29%;63%;7%;0%
97;2020-04-03T03:00:00.000Z;39;4;TenTec ITX Movel;383;89;1840;28;2340;16%;4%;79%;1%
98;2020-04-03T03:00:00.000Z;41;4;EBS 3 - 38482;28157;5894;1017;0;35068;80%;17%;3%;0%
99;2020-04-03T03:00:00.000Z;47;1;EBS 11 - 44537;1388;7774;467;0;9629;14%;81%;5%;0%
100;2020-04-03T03:00:00.000Z;47;4;Baldussi ITX - Movel;42;14;769;18;843;5%;2%;91%;2%
101;2020-04-03T03:00:00.000Z;51;2;EBS 3 - 51747;13449;8054;763;1;22267;60%;36%;3%;0%
102;2020-04-03T03:00:00.000Z;56;2;EBS 1 - 108386;9205;9596;581;0;19382;47%;50%;3%;0%
103;2020-04-03T03:00:00.000Z;59;1;EBS 13 - 67419;758;4150;305;0;5213;15%;80%;6%;0%
104;2020-04-03T03:00:00.000Z;65;4;EBS 2 - 61029;6002;9687;1260;0;16949;35%;57%;7%;0%
105;2020-04-03T03:00:00.000Z;66;4;EBS 4 - 61027;20875;15580;1603;2;38060;55%;41%;4%;0%
106;2020-04-03T03:00:00.000Z;67;4;EBS 5 - 51748;9503;4696;735;0;14934;64%;31%;5%;0%
107;2020-04-03T03:00:00.000Z;68;4;EBS 6 - 51723;12848;8060;1157;0;22065;58%;37%;5%;0%
108;2020-04-03T03:00:00.000Z;69;4;EBS 7 - 60188;12113;10967;1605;1;24686;49%;44%;7%;0%
109;2020-04-03T03:00:00.000Z;72;4;EBS 9 - 44679;3538;2871;431;0;6840;52%;42%;6%;0%
110;2020-04-03T03:00:00.000Z;73;2;EBS 6 - 60193;5322;11066;867;0;17255;31%;64%;5%;0%
111;2020-04-03T03:00:00.000Z;80;1;EBS 4 - 38006;863;4327;214;0;5404;16%;80%;4%;0%
112;2020-04-03T03:00:00.000Z;100;1;EBS 1 - 58073;629;4169;362;0;5160;12%;81%;7%;0%
113;2020-04-03T03:00:00.000Z;106;2;KMG Ypy ITX - Movel;5125;9539;787;144;15595;33%;61%;5%;1%
114;2020-04-03T03:00:00.000Z;108;1;EBS 0 - 75104;4582;3042;282;1;7907;58%;38%;4%;0%
115;2020-04-03T03:00:00.000Z;111;2;Ypy ITX - Movel;512;555;1364;18;2449;21%;23%;56%;1%
116;2020-04-03T03:00:00.000Z;112;2;Supernova Telecom - Movel;186;42;210;5;443;42%;9%;47%;1%
117;2020-04-03T03:00:00.000Z;122;2;Ypy ITX - Fixo;1884;754;1156;60;3854;49%;20%;30%;2%
118;2020-04-03T03:00:00.000Z;124;2;KMG Ypy ITX - Fixo;17383;11209;1491;541;30624;57%;37%;5%;2%
119;2020-04-03T03:00:00.000Z;125;2;KMG TenTec ITX - Movel;1042;2254;224;24;3544;29%;64%;6%;1%
120;2020-04-03T03:00:00.000Z;126;1;EBS 2 - 48215;783;4605;293;0;5681;14%;81%;5%;0%
121;2020-04-03T03:00:00.000Z;130;2;TenTec ITX Movel;1;1;2;0;4;25%;25%;50%;0%
122;2020-04-03T03:00:00.000Z;134;2;YPY - WHATSAPP;0;0;11823;11356;23179;0%;0%;51%;49%
123;2020-04-03T03:00:00.000Z;138;2;KMG Baldussi ITX - Movel;72796;96491;8117;1621;179025;41%;54%;5%;1%
124;2020-04-03T03:00:00.000Z;139;1;KMG Ypy ITX - Movel;2469;6718;784;47;10018;25%;67%;8%;0%
125;2020-04-03T03:00:00.000Z;140;1;Ypy ITX - Movel;72;0;422;5;499;14%;0%;85%;1%
126;2020-04-03T03:00:00.000Z;140;2;Baldussi ITX - Movel;516;688;1553;15;2772;19%;25%;56%;1%
127;2020-04-03T03:00:00.000Z;149;2;EBS 7 - 60194;2420;22924;341;0;25685;9%;89%;1%;0%
128;2020-04-03T03:00:00.000Z;153;1;KMG Ypy ITX - Fixo;1219;1669;212;75;3175;38%;53%;7%;2%
